cpd_mnth_id,cpd_dt,cluster_name_adjusted,mrch_catg_cd,mrch_catg_rlup_nm,merchant,cp_flag,domestic_flag,intraregion_flag,interregion_flag,city_name,country_code,spend
202306,6/8/2023,Family,7523,"PARKING LOTS,METERS,GARAGES",APCOA,0,1,0,0,Not_Available,826,6.25
202306,6/13/2023,Affluent Segment,5499,MISC FOOD STORES - DEFAULT,NYA,1,1,0,0,Not_Available,826,1.39
202307,7/9/2023,Affluent Segment,5499,MISC FOOD STORES - DEFAULT,NYA,1,1,0,0,Not_Available,826,1.41
202306,6/13/2023,Affluent Segment,5499,MISC FOOD STORES - DEFAULT,NYA,1,1,0,0,Not_Available,826,1.39
202307,7/9/2023,Affluent Segment,5499,MISC FOOD STORES - DEFAULT,NYA,1,1,0,0,Not_Available,826,1.41
202307,7/15/2023,Frugal Family,5311,DEPARTMENT STORES,TAKEAWAY.JE,0,1,0,0,Not_Available,826,38.79
202306,6/25/2023,Frugal Family,9399,GOV'T SERV - DEFAULT,MANCHESTER.GOV.UK,0,1,0,0,Not_Available,826,38.27
202307,7/26/2023,Affluent Segment,5641,CHILDREN/INFANTS WEAR STORES,MAPAC GROUP,0,1,0,0,Not_Available,826,48.66
202306,6/8/2023,Affluent Segment,5691,MENS/WOMENS CLOTHING STORES,ASOS.COM,0,1,0,0,Not_Available,826,212.55
202306,6/22/2023,Affluent Segment,9311,TAX PAYMENTS,DRIVER & VEHICLE LICENSING AGENCY,0,1,0,0,Not_Available,826,192.08
202305,5/17/2023,Urban Spenders,7922,THEATRICAL PRODUCERS,JAGUARS TICKETS,0,1,0,0,Not_Available,826,268.15
202307,7/26/2023,Affluent Segment,4112,PASSENGER RAILWAYS,TFL-TICKET PURCHASE,0,1,0,0,Not_Available,826,12.91
202306,6/18/2023,Sensible Spenders,5814,FAST FOOD RESTAURANTS,PIZZA HUT,0,1,0,0,Not_Available,826,44.96
202305,5/5/2023,Frugal Family,5411,GROCERY STORES/SUPERMARKETS,SAINSBURY'S,0,1,0,0,Not_Available,826,43.68
202305,5/14/2023,Frugal Family,5411,GROCERY STORES/SUPERMARKETS,SAINSBURY'S,0,1,0,0,Not_Available,826,51.78
202305,5/21/2023,Frugal Family,5411,GROCERY STORES/SUPERMARKETS,SAINSBURY'S,0,1,0,0,Not_Available,826,61.01
202305,5/28/2023,Frugal Family,5411,GROCERY STORES/SUPERMARKETS,SAINSBURY'S,0,1,0,0,Not_Available,826,70.74
202306,6/3/2023,Frugal Family,5411,GROCERY STORES/SUPERMARKETS,SAINSBURY'S,0,1,0,0,Not_Available,826,40.42
