Name,Value.accountId,cluster_name_adjusted,Value.amount.currencyCode,mrch_catg_rlup_nm2,Value.dates.booked,amount,Category
transactions,5a73582adf954cf6b3db6cc97bedccd9,Affluent Segment,GBP,AMUSEMENT PARKS/CIRCUS,5/12/2023,3.73,entertainment
transactions,5a73582adf954cf6b3db6cc97bedccd9,Affluent Segment,GBP,AMUSEMENT PARKS/CIRCUS,5/12/2023,3.73,entertainment
transactions,5a73582adf954cf6b3db6cc97bedccd9,Affluent Segment,GBP,AMUSEMENT PARKS/CIRCUS,6/2/2023,4.39,entertainment
transactions,5a73582adf954cf6b3db6cc97bedccd9,Affluent Segment,GBP,AMUSEMENT PARKS/CIRCUS,6/2/2023,7.4,entertainment
transactions,6r88582adf954cf6b3db6cc97bedccd9,Urban Spenders,GBP,ART DEALERS & GALLERIES,7/14/2023,6.57,entertainment
transactions,6r88582adf954cf6b3db6cc97bedccd9,Urban Spenders,GBP,ART DEALERS & GALLERIES,7/14/2023,6.57,entertainment
transactions,5a73582adf954cf6b3db6cc97tedggd9,Frugal Family,GBP,ARTIST/CRAFT SHOPS,6/13/2023,4.6,entertainment
transactions,5a73582adf954cf6b3db6cc97tedggd9,Frugal Family,GBP,AUTOMATED FUEL DISPENSERS,6/2/2023,65.92,transport
transactions,6r88582adf954cf6b3db6cc97bedccd9,Urban Spenders,GBP,AUTOMOTIVE TIRE STORES,5/25/2023,166.13,transport
transactions,5a73582adf954cf6b3db6cc97bedccd9,Affluent Segment,GBP,BAKERIES,6/14/2023,10.04,food
transactions,5a73582adf954cf6b3db6cc97bedccd9,Affluent Segment,GBP,BAKERIES,7/21/2023,16.21,food
transactions,5a73582adf954cf6b3db6cc97bedccd9,Affluent Segment,GBP,BAKERIES,7/21/2023,16.21,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BAKERIES,7/1/2023,18.33,food
transactions,5a73582adf954cf6b3db6cc97tedggd9,Frugal Family,GBP,BAKERIES,6/6/2023,11.3,food
transactions,5a73582adf954cf6b3db6cc97tedggd9,Frugal Family,GBP,BAKERIES,7/27/2023,16.46,food
transactions,5a73582adf954cf6b3db6cc97yedood7,Sensible Spenders,GBP,BAKERIES,6/28/2023,15.7,food
transactions,5a73582adf954cf6b3db6cc97yedood7,Sensible Spenders,GBP,BAKERIES,6/28/2023,15.7,food
transactions,5a73582adf954cf6b3db6cc97yedood7,Sensible Spenders,GBP,BAKERIES,7/12/2023,8.6,food
transactions,5a73582adf954cf6b3db6cc97yedood7,Sensible Spenders,GBP,BAKERIES,7/12/2023,8.6,food
transactions,5a73582adf954cf6b3db6cc97yedood7,Sensible Spenders,GBP,BAKERIES,7/13/2023,21.59,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BANDS/ORCHESTRAS/ENTERTAIN,5/29/2023,75.38,entertainment
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BANDS/ORCHESTRAS/ENTERTAIN,5/29/2023,75.38,entertainment
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BANDS/ORCHESTRAS/ENTERTAIN,6/2/2023,6.27,entertainment
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BANDS/ORCHESTRAS/ENTERTAIN,6/2/2023,6.27,entertainment
transactions,5a73582adf954cf6b3db6cc97tedggd9,Frugal Family,GBP,BANDS/ORCHESTRAS/ENTERTAIN,6/5/2023,8.79,entertainment
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/1/2023,22.66,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/1/2023,22.66,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/14/2023,14.3,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/14/2023,14.3,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/20/2023,13.36,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/21/2023,27.72,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/22/2023,19.35,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/22/2023,31.53,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/22/2023,31.53,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/22/2023,31.53,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/22/2023,31.53,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/22/2023,19.35,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/28/2023,23.56,food
transactions,94177e7a3daa4ef18746b355980ebd5f,Family,GBP,BARS/TAVERNS/LOUNGES/DISCOS,5/28/2023,16.12,food
